HUMS.Healthy',HUMS.Unhealthy',BMRQ.Social_Reward',BMRQ.Musical_Seeking',BMRQ.Mood_Regulation',BMRQ.Sensory_Motor',BMRQ.Emotional_Evocation',IRI.Perspective_Taking',IRI.Fantasy',IRI.Empathic_Concern',IRI.Personal_Distress',EC.Happiness',EC.Love',EC.Fear',EC.Anger',EC.Sadness',P.Extraversion',P.Agreeableness',P.Conscientiousness',P.Neuroticism',P.Openness'
18,11,19,13,15,19,19,25,33,31,20,11,10,11,10,12,30,30,36,26,46
17,17,13,14,16,18,13,24,20,26,13,9,10,6,6,7,28,40,36,13,29
18,21,14,17,14,15,14,24,20,20,20,8,7,4,6,5,17,22,26,30,41
18,21,14,11,16,14,10,20,26,28,16,8,6,7,6,6,30,27,34,26,31
22,19,12,17,19,17,19,25,21,28,24,11,9,7,6,12,36,42,33,29,31
16,12,16,8,16,18,14,19,26,22,21,9,7,9,8,9,17,34,37,20,28
24,18,16,15,19,20,16,26,22,28,18,11,12,7,7,9,30,37,37,23,34
22,15,16,19,20,20,18,24,23,25,12,10,11,6,5,7,30,32,36,19,36
19,12,15,18,17,10,15,23,23,30,19,10,9,12,10,9,23,32,31,26,37
24,9,14,12,20,16,14,17,18,21,14,12,12,5,5,5,25,39,33,18,32
23,21,14,15,17,15,16,28,29,28,25,11,12,10,8,11,20,39,33,26,34
20,33,14,15,16,13,16,22,25,21,29,9,8,10,11,11,30,29,34,26,36
15,15,15,10,11,18,16,26,30,29,15,9,10,10,10,9,37,39,20,22,42
22,30,16,15,18,12,15,24,23,27,27,10,10,10,9,9,26,34,33,22,33
16,13,14,10,14,16,16,22,21,22,18,9,9,9,9,9,22,27,28,29,36
18,15,15,14,16,17,16,20,21,24,23,8,9,8,8,8,17,32,30,24,36
11,12,11,8,9,9,13,15,28,23,35,7,10,11,11,11,17,23,25,40,40
21,22,19,10,14,19,15,28,28,28,19,7,4,10,9,9,17,31,19,36,47
13,9,6,10,13,11,9,24,7,18,13,8,7,6,5,4,25,29,39,13,27
17,10,12,10,16,8,4,14,25,20,28,8,6,11,7,11,10,20,40,35,30
25,40,20,16,20,16,20,27,27,23,27,12,12,12,12,12,28,29,33,28,42
19,18,16,16,16,15,12,25,23,25,21,9,8,8,8,8,24,34,26,19,44
20,15,16,10,15,16,17,24,20,28,21,10,9,9,8,10,23,33,30,22,39
20,15,17,14,17,12,17,23,26,28,22,12,9,8,9,8,22,31,25,35,29
25,32,14,16,20,18,20,29,22,16,18,7,6,7,5,7,20,29,29,29,46
20,12,14,14,19,15,19,26,21,26,14,10,12,5,7,7,18,41,39,16,31
22,35,18,17,19,16,18,25,26,21,29,11,10,12,8,11,26,31,30,28,42
17,19,12,13,16,12,10,20,20,16,10,8,6,6,7,3,19,29,24,17,28
16,16,14,15,16,18,16,29,28,27,20,11,9,12,8,9,29,35,34,19,34
14,19,9,12,16,16,14,23,15,28,23,9,9,7,5,7,20,36,33,37,31
22,16,16,14,16,17,16,23,18,19,12,9,10,7,8,6,25,29,35,19,37
9,12,5,5,6,12,4,29,26,29,26,10,4,11,8,11,15,42,27,29,34
21,16,12,12,16,16,14,23,25,29,20,9,6,7,5,9,22,43,39,30,32
20,19,13,15,16,13,14,22,20,22,18,8,8,6,5,5,27,37,36,17,34
16,18,16,7,12,17,14,23,18,24,19,9,5,10,9,9,32,32,38,28,24
23,16,18,17,20,20,19,27,28,33,19,10,10,7,7,10,36,36,39,23,38
14,17,10,14,17,16,10,15,26,24,17,12,11,9,8,8,37,30,31,23,27
17,11,14,15,14,14,15,22,22,22,16,9,10,5,6,6,21,32,30,19,38
22,15,13,16,17,12,17,21,29,25,29,9,7,8,6,9,13,28,30,35,33
19,15,12,14,16,16,15,26,27,27,18,9,9,9,7,9,30,36,34,22,33
18,9,13,14,16,13,18,23,26,24,19,9,12,7,7,9,21,35,34,17,36
21,13,17,17,19,17,16,23,27,29,20,9,10,7,8,7,22,30,31,25,34
19,9,11,11,19,19,7,23,12,26,19,12,7,7,7,6,23,35,32,21,30
17,25,15,16,15,11,15,25,25,24,27,8,11,8,9,11,24,25,27,32,39
16,10,17,11,16,19,16,20,22,28,20,11,9,10,9,8,24,31,29,26,27
17,12,10,13,15,9,16,22,30,32,26,11,11,8,8,8,19,29,24,34,38
22,16,15,16,16,18,15,24,27,30,12,11,10,8,4,5,26,42,37,13,37
13,14,9,5,8,10,9,24,25,21,13,8,4,6,5,6,16,29,31,21,32
21,15,16,17,16,15,17,24,27,24,16,7,8,9,9,6,20,25,39,27,45
20,13,11,14,17,20,16,26,25,30,13,9,11,9,6,10,21,45,37,21,37
18,18,18,14,18,18,19,23,26,27,20,12,12,12,12,12,27,37,32,23,36
19,14,17,14,19,20,20,20,34,35,34,12,12,11,11,12,22,38,39,37,42
18,11,18,15,17,19,15,21,27,24,26,11,12,9,7,5,29,33,28,24,35
21,23,10,14,17,12,17,29,31,27,14,10,11,10,8,9,29,39,28,22,40
22,14,14,13,19,19,15,23,23,25,17,12,10,9,9,8,25,39,39,23,35
17,11,15,18,17,16,18,28,23,29,15,12,9,9,9,9,29,44,23,22,47
20,27,13,12,15,14,15,28,23,26,23,9,9,9,7,9,24,34,31,30,34
15,17,10,12,14,15,14,21,17,21,16,9,7,8,7,8,27,33,36,20,29
16,9,16,20,16,18,19,30,20,30,16,9,9,9,9,11,19,44,43,29,45
16,13,10,9,16,16,15,23,29,28,22,11,8,10,8,10,20,31,39,30,30
23,24,18,16,20,15,20,25,27,28,25,12,11,9,9,11,29,36,40,18,37
18,21,12,7,14,15,16,25,32,27,16,9,6,9,8,11,20,27,30,27,33
19,22,15,18,17,11,12,17,17,26,27,8,11,7,8,10,17,25,30,36,30
18,17,14,14,16,17,14,19,32,23,16,11,9,8,8,8,25,32,21,29,32
20,15,15,15,17,17,16,25,23,30,19,10,10,10,8,10,23,36,30,32,37
17,11,9,9,14,8,13,24,33,29,17,10,8,10,9,9,11,38,41,18,34
21,10,10,14,18,13,18,19,20,25,17,8,7,8,6,10,25,31,24,25,28
19,23,14,16,12,12,11,22,22,22,23,9,6,5,6,6,37,39,25,25,36
19,15,18,16,16,18,18,26,29,32,18,9,9,8,9,11,22,37,32,30,36
17,15,12,11,16,14,15,23,25,26,20,9,9,8,10,7,19,37,30,28,37
21,17,18,16,19,20,17,28,19,32,9,10,7,5,3,8,39,37,40,20,33
22,12,19,18,18,17,20,22,22,28,23,7,9,12,11,8,19,29,34,31,44
19,21,13,15,15,14,12,25,22,24,17,9,6,5,4,7,26,40,37,24,33
21,21,19,18,20,15,20,28,32,34,13,10,11,7,9,10,11,44,37,33,38
20,11,14,17,20,17,19,30,27,35,16,9,11,11,8,10,20,44,27,15,35
21,16,17,14,16,17,17,26,23,27,18,8,8,6,6,6,22,37,42,19,40
22,18,16,17,20,20,16,23,23,16,21,10,12,8,6,7,23,23,30,23,23
18,12,15,12,17,16,17,23,19,29,23,9,8,7,6,9,28,36,39,28,36
20,8,8,12,14,10,10,28,17,33,21,11,3,10,10,8,23,40,35,21,28
12,8,10,10,12,12,9,21,19,18,11,5,3,3,6,3,25,32,39,12,34
14,13,10,10,12,16,12,20,21,19,19,9,8,7,7,6,17,30,29,26,33
23,17,16,20,20,20,20,31,16,31,15,12,12,7,5,11,31,41,42,24,38
20,13,7,15,19,19,11,23,23,31,20,11,9,8,8,9,25,37,39,26,23
20,14,14,12,16,18,12,23,17,28,17,9,9,9,8,7,27,31,36,26,38
18,15,13,14,14,13,13,22,21,19,18,7,7,6,9,7,22,30,23,27,31
18,23,14,15,15,12,12,22,21,21,19,7,7,9,6,5,27,33,30,23,32
13,15,10,10,11,10,10,15,16,20,17,3,3,4,3,4,24,32,29,26,31
21,35,17,15,19,18,18,21,18,20,21,8,10,8,11,7,32,29,33,23,37
22,20,17,15,20,20,17,27,32,27,32,11,11,11,10,7,15,22,19,40,41
14,8,14,10,14,18,17,18,19,25,17,12,8,6,6,10,33,39,40,18,36
15,14,9,8,16,10,16,18,22,22,23,9,9,8,8,10,13,24,21,33,23
13,11,13,7,14,13,17,20,21,23,22,7,7,5,8,9,22,36,34,24,35
19,20,14,8,16,16,18,26,23,28,22,9,7,8,5,9,16,29,30,31,31
17,18,14,12,15,17,16,26,20,27,20,9,8,7,8,9,23,34,29,23,39
14,15,10,10,11,13,11,21,18,24,21,9,7,9,7,9,25,34,24,33,27
17,16,16,11,16,17,18,24,30,29,21,8,10,10,10,9,19,27,31,30,36
19,18,17,8,16,20,18,18,32,34,29,12,10,12,12,12,27,30,21,34,45
21,24,11,15,19,16,19,22,20,24,23,9,12,7,6,11,24,32,29,28,32
16,13,12,14,14,17,17,16,18,15,22,8,9,5,7,6,14,22,26,25,34
15,17,10,8,15,8,14,18,21,17,20,8,4,8,6,6,28,20,28,23,24
22,19,16,18,18,17,20,32,32,30,19,11,9,8,11,10,26,31,20,31,46
22,26,15,17,16,11,12,25,22,20,21,7,8,8,9,8,30,44,44,9,39
